"Well ID","Well Label","Compound ID","Compound Name","Experiment","Dose [pM]","Dose Label","Start timestamp [µs]","Duration [µs]","Spike Count","Spike Frequency [Hz]"
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",2283900,345600,346,83.43
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",6119100,298800,319,88.967
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",9732600,298700,310,86.486
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",13586500,344100,370,89.606
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",17257700,334600,321,79.946
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",20853000,367400,345,78.253
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",24709700,356900,370,86.392
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",28405300,348600,347,82.951
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",32216500,343800,340,82.412
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",36289200,372900,349,77.992
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",40206200,370300,360,81.015
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",43889900,302900,333,91.614
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",47779400,355500,364,85.326
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",51237000,354600,304,71.442
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",55066300,418200,373,74.326
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",58936500,399400,337,70.314
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",62635600,346300,339,81.577
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",66518000,341000,356,86.999
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",70193000,311600,354,94.673
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",73987400,343300,358,86.902
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",77832600,336800,322,79.671
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",81637800,303400,330,90.639
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",85443300,333300,306,76.508
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",89203400,301100,323,89.394
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",93091700,322500,336,86.822
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",96766000,352300,329,77.822
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",100459200,368500,356,80.507
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",104520800,344900,348,84.082
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",108327000,269600,295,91.184
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",112160700,337800,330,81.409
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",115765300,380400,364,79.741
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",119640900,364100,337,77.131
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",123469500,357100,348,81.21
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",127174000,368500,371,83.899
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",131090000,336900,330,81.627
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",134808100,368900,355,80.193
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",138592200,367300,352,79.862
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",142637400,369200,356,80.354
"3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",146436200,354800,278,65.295
