"Channel ID","Channel Label","Well ID","Well Label","Compound ID","Compound Name","Experiment","Dose [pM]","Dose Label","Start timestamp [µs]","Duration [µs]","Spike Count","Spike Frequency [Hz]"
"75","13","3","A4","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",148957600,94800,4,31.646
"75","13","3","A4","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",269852500,95100,4,31.546
"99","13","4","A5","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",110135400,62200,4,48.232
"118","34","10","B5","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",8272700,222900,4,13.459
"118","34","10","B5","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",9386200,238600,5,16.764
"118","34","10","B5","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",71141400,192500,5,20.779
"118","34","10","B5","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",145038900,121600,4,24.671
"118","34","10","B5","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",153717700,233400,6,21.422
"118","34","10","B5","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",218823400,193900,5,20.629
"118","34","10","B5","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",227621700,163800,4,18.315
"199","24","15","C4","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",184055900,221100,4,13.569
"180","31","22","D5","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",184122600,182500,4,16.438
"180","31","22","D5","Hippocampus","","20230518_Hippocampus_pMEA_001","0","Control",289442100,146400,4,20.492
"74","12","3","A4","Hippocampus","","20230520_Hippocampus_pMEA_001","0","Control",214263100,118300,4,25.359
"74","12","3","A4","Hippocampus","","20230520_Hippocampus_pMEA_001","0","Control",239853400,189000,4,15.873
"75","13","3","A4","Hippocampus","","20230520_Hippocampus_pMEA_001","0","Control",99504200,56300,4,53.286
"75","13","3","A4","Hippocampus","","20230520_Hippocampus_pMEA_001","0","Control",213073200,93300,4,32.154
"75","13","3","A4","Hippocampus","","20230520_Hippocampus_pMEA_001","0","Control",262829800,108500,4,27.65
"98","12","4","A5","Hippocampus","","20230520_Hippocampus_pMEA_001","0","Control",219507300,146400,4,20.492
"103","32","4","A5","Hippocampus","","20230520_Hippocampus_pMEA_001","0","Control",52593000,101900,4,29.441
"103","32","4","A5","Hippocampus","","20230520_Hippocampus_pMEA_001","0","Control",170008100,135200,4,22.189
