"Channel ID","Channel Label","Well ID","Well Label","Compound ID","Compound Name","Experiment","Dose [pM]","Dose Label","Start timestamp [µs]","Duration [µs]","Spike Count","Spike Frequency [Hz]"
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",2333900,272600,38,135.73
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",6119100,294600,34,112.016
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",9756700,265700,32,116.673
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",13586500,255400,39,148.786
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",17296300,211200,28,127.841
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",17543100,49200,6,101.626
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",20891300,253400,33,126.283
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",24709700,263600,35,128.983
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",28428200,242500,33,131.959
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",28710800,26600,5,150.376
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",32278700,152500,25,157.377
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",32457800,25100,5,159.363
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",36325700,183900,23,119.63
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",36534800,100800,10,89.286
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",40214700,226100,30,128.262
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",40475700,48100,7,124.74
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",43897500,145600,23,151.099
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",44101000,91800,10,98.039
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",47810500,245800,35,138.324
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",51236500,65800,7,91.185
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",51378200,164800,17,97.087
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",55099800,244000,28,110.656
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",55371300,36600,4,81.967
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",59024100,222700,36,157.162
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",59278100,57800,4,51.903
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",62624400,247600,30,117.124
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",66499300,272900,35,124.588
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",70220800,147600,24,155.827
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",70411400,61200,8,114.379
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",73963200,281200,41,142.248
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",74282800,47900,4,62.63
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",77832600,231800,20,81.967
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",78097300,41100,6,121.655
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",81644900,291800,32,106.237
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",85502200,227600,30,127.417
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",89143600,58600,7,102.389
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",89256300,156800,17,102.041
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",89438600,58000,7,103.448
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",93018600,42300,4,70.922
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",93101500,312700,41,127.918
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",96775200,256600,33,124.708
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",100453900,50400,4,59.524
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",100531900,206500,28,130.751
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",104538600,26000,4,115.385
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",104595400,177600,25,135.135
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",108372000,173300,27,150.029
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",108613100,40500,6,123.457
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",112183000,199800,28,135.135
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",112408400,69800,9,114.613
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",115815600,196600,26,127.162
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",116041100,54800,6,91.241
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",119648400,111400,17,143.627
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",119790500,106700,14,121.837
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",123491800,174700,25,137.378
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",123692000,78400,10,114.796
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",127240800,232500,34,141.935
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",131115700,41400,7,144.928
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",131187700,200500,27,129.676
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",134794900,77400,7,77.519
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",134902700,245900,36,142.334
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",138657400,177100,25,135.517
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",138912800,25000,4,120
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",142595500,57700,6,86.655
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",142748800,86700,12,126.874
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",142870800,90900,11,110.011
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",146501300,200100,24,114.943
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",146732000,59000,4,50.847
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",150193100,37500,7,160
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",150262700,228900,29,122.324
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",154257800,249100,41,160.578
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",158127400,289000,41,138.408
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",161659200,56300,5,71.048
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",161741000,108300,13,110.803
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",161879000,107400,13,111.732
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",165389200,99900,15,140.14
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",165518300,127400,16,117.739
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",169257800,76700,11,130.378
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",169374800,91500,18,185.792
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",169492800,27100,4,110.701
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",173059100,86800,10,103.687
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",173183900,49300,7,121.704
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",173262100,72500,8,96.552
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",176884300,286200,42,143.256
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",180952800,261100,26,95.749
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",184890800,221500,34,148.984
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",188881800,288400,42,142.164
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",192754700,26800,4,111.94
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",192814500,255700,31,117.325
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",196588800,288400,35,117.892
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",200490600,146600,19,122.783
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",200705700,116800,15,119.863
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",204500800,98400,14,132.114
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",204632600,95900,10,93.848
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",208751000,280300,34,117.731
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",209083800,67300,7,89.153
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",212622100,191400,26,130.617
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",216527500,305000,39,124.59
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",220729900,262200,35,129.672
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",221017600,41000,4,73.171
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",224549500,305900,38,120.955
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",228376100,206100,25,116.448
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",232383800,232400,30,124.785
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",236341800,174000,22,120.69
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",239977100,27000,5,148.148
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",240081900,190400,15,73.529
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",244477600,58700,7,102.215
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",244569100,87900,12,125.142
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",248584700,291800,39,130.226
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",252473200,50000,7,120
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",252558100,137900,15,101.523
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",256240500,47600,6,105.042
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",256315600,181300,25,132.377
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",260244200,220500,29,126.984
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",263877800,265500,30,109.228
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",264177200,48100,6,103.95
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",268138000,291200,38,127.06
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",271980700,247700,23,88.817
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",272265600,39500,6,126.582
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",275959000,266100,28,101.466
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",280644400,375100,47,122.634
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",284452200,92700,10,97.087
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",284619700,145900,20,130.226
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",284796100,43800,4,68.493
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",288507100,284000,35,119.718
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",292608600,39100,5,102.302
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",292676400,266400,29,105.105
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",296154000,52900,4,56.711
"76","21","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",296508900,127100,12,86.546
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",2373000,67700,8,103.397
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",2540600,30100,6,166.113
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",9783500,73600,7,81.522
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",13597000,79500,9,100.629
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",13702700,133300,15,105.026
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",17377800,31000,5,129.032
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",20998400,26900,6,185.874
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",21051000,78000,9,102.564
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",24772600,49900,5,80.16
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",28463300,40300,4,74.442
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",28530700,53600,7,111.94
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",28647600,25100,5,159.363
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",36355800,37800,4,79.365
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",36506900,29700,6,168.35
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",36561700,31400,5,127.389
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",43977000,38600,6,129.534
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",47820700,130400,12,84.356
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",47977100,73900,5,54.127
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",51289700,63000,6,79.365
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",51434900,63300,5,63.191
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",55137100,78800,10,114.213
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",55259800,114800,11,87.108
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",59171300,27400,4,109.489
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",62639600,29200,4,102.74
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",62821200,33300,6,150.15
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",66566400,43900,6,113.895
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",66650900,93300,10,96.463
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",70239500,103400,8,67.698
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",70377400,53700,6,93.11
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",74021700,44500,4,67.416
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",74149200,85800,10,104.895
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",77942100,32800,4,91.463
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",78003600,114600,12,95.986
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",81735000,100100,9,79.92
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",81871800,31100,4,96.463
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",85664100,39800,4,75.377
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",89268100,150300,15,93.147
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",93281800,52500,7,114.286
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",96773900,61900,7,96.931
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",96864300,36100,4,83.102
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",96989200,60200,5,66.445
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",100544100,101000,12,108.911
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",104581400,58400,5,68.493
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",104735900,69900,9,114.449
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",108490100,33800,4,88.757
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",112286200,61500,5,65.041
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",115888300,60000,9,133.333
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",115974800,35400,4,84.746
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",119678900,65300,6,76.57
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",119797800,87200,9,91.743
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",123493200,48600,6,102.881
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",123705200,50600,6,98.814
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",127327200,109600,15,127.737
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",131150100,54000,5,74.074
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",134858400,65300,6,76.57
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",134967500,45800,5,87.336
"78","31","3","A4","Hippocampus","","20230522_Hippocampus_pMEA_001","0","Control",135042300,30600,5,130.719
